classification,postal_code,street_number,street_name,street_type
Non Residential,B3L 1K9,6319,CHEBUCTO,RD
Non Residential,B3H 2R4,1190,BARRINGTON,ST
Non Residential,B3B 1Z7,5,BROWN,AVE
Non Residential,B2V 1E8,1171,COLE HARBOUR,RD
Non Residential,B0N 1X0,249,SIBLEY,RD
Non Residential,B3G 1A2,72,COW BAY,RD
Non Residential,B3J 1T6,1246,HOLLIS,ST
Non Residential,B3K 4N8,2616,ROBIE,ST
Non Residential,B3K 5R5,3380,DEVONSHIRE,AVE
Non Residential,B4A 0C3,36,VERDI,DR
Non Residential,B3J 3Z7,5287,PRINCE,ST
Non Residential,B3B 1T2,60,RADDALL,AVE
Non Residential,B3S 1A1,20,HORSESHOE LAKE,DR
Non Residential,B2Z 1P9,3733,LAWRENCETOWN,RD
Non Residential,B3Z 0C3,31,SCHOLARS,RD
Non Residential,B3V 1B1,1000,OLD SAMBRO,RD
Non Residential,B3K 3H4,89,CONNOR,LANE
Non Residential,B3M 3C9,11,DOUGLAS,AVE
Non Residential,B3Z 2X8,11942,PEGGYS COVE,RD
Non Residential,B3Z 2R6,12282,PEGGYS COVE,RD
Non Residential,B3J 1J5,5213,BLOWERS,ST
Non Residential,B2V 1N1,1237,COLE HARBOUR,RD
Non Residential,B3J 1Y1,1855,GRANVILLE,ST
Non Residential,B3N 2R8,3428,DUTCH VILLAGE,RD
Non Residential,B3K 4B8,2383,AGRICOLA,ST
Non Residential,B3B 1X6,240,BROWNLOW,AVE
Non Residential,B3K 3C8,2792,GOTTINGEN,ST
Non Residential,B3B 1C5,30,MACDONALD,AVE
Non Residential,B3J 2C3,1599,GRAFTON,ST
Non Residential,B3P 2A2,18,COLINDALE,ST
Non Residential,B3B 0C6,15,LEMLAIR,ROW
Non Residential,B0J 1T0,30,HARNISH,LANE
Non Residential,B3H 4S8,5755,UNIVERSITY,AVE
Non Residential,B3R 1W5,485,HERRING COVE,RD
Non Residential,B3J 1H5,5688,SPRING GARDEN,RD
Non Residential,B3Z 3R1,8444,PEGGYS COVE,RD
Non Residential,B2W 2M3,620,PORTLAND,ST
Non Residential,B3V 1B2,1266,OLD SAMBRO,RD
Non Residential,B3J 1G4,5486,SPRING GARDEN,RD
Non Residential,B3A 1G5,259,WINDMILL,RD
Non Residential,B0N 1Y0,170,VINEGAR HILL,RD
Non Residential,B0J 1T0,9665,ST MARGARETS BAY,RD
Non Residential,B3T 1C8,109,RIVERWOOD,DR
Non Residential,B2Y 3R7,218,PLEASANT,ST
Non Residential,B3K 4X5,3365,KEMPT,RD
Non Residential,B3S 1T3,15,FAIRFAX,DR
Non Residential,B3V 1A4,76,Non Residential,DR
Non Residential,B2Y 2N5,60,ALDERNEY,DR
Non Residential,B3Z 3P1,14,GOVERNMENT WHARF,RD
Non Residential,B3M 0G1,10,PEAKVIEW,WAY
Non Residential,B3K 5L6,5830,DUFFUS,ST
Non Residential,B2Y 1H6,88,PORTLAND,ST
Non Residential,B3H 2Y4,920,TOWER,RD
Non Residential,B3Z 3L7,9564,PEGGYS COVE,RD
Non Residential,B3J 1Z6,1594,BARRINGTON,ST
Non Residential,B3S 0G2,15,BENTLY,DR
Non Residential,B3A 1H4,312,WINDMILL,RD
Non Residential,B4C 2R5,265,SACKVILLE,DR
Non Residential,B0J 1N0,715,EAST CHEZZETCOOK,RD
Non Residential,B3B 2A5,696,WINDMILL,RD
Non Residential,B4E 3C9,2980,SACKVILLE,DR
Non Residential,B3L 2W3,6394,CORK,ST
Non Residential,B4C 2S4,665,SACKVILLE,DR
Non Residential,B3K 4M7,2390,ROBIE,ST
Non Residential,B4E 3C5,3125,SACKVILLE,DR
Non Residential,B0J 1T0,112,QUEENSLAND,LANE
Non Residential,B3Z 3G9,10507,PEGGYS COVE,RD
Non Residential,B3B 0G7,78,BURBRIDGE,AVE
Non Residential,B4B 1G7,123,GARY MARTIN,DR
Non Residential,B0J 1N0,57,STELLA,DR
Non Residential,B3P 1L3,221,HERRING COVE,RD
Non Residential,B3L 1H9,6691,FOURTH,ST
Non Residential,B3M 2K6,2,TREMONT,DR
Non Residential,B3Z 3Y3,23,CAPER,CRT
Non Residential,B3N 2T1,3615,DUTCH VILLAGE,RD
Non Residential,B0J 3A0,90,AUTOPORT,AVE
Non Residential,B4A 2T3,299,ROCKY LAKE,DR
Non Residential,B2Z 1C5,2020,LAWRENCETOWN,RD
Non Residential,B2W 5C2,2,CIRCASSION,DR
Non Residential,B3V 1L5,40,LENNYS,LANE
Non Residential,B2W 6E6,400,GOLF VIEW,DR
Non Residential,B3P 1L1,205,HERRING COVE,RD
Non Residential,B3H 4E9,1660,FAIRFIELD,RD
Non Residential,B2R 1R7,2464,ROCKY LAKE,DR
Non Residential,B2Y 1H6,94,PORTLAND,ST
Non Residential,B3B 1R6,60,TRIDER,CRES
Non Residential,B3K 3X4,2867,ISLEVILLE,ST
Non Residential,B3J 1X5,1700,GRANVILLE,ST
Non Residential,B3J 1J5,5215,BLOWERS,ST
Non Residential,B3T 2B4,3610,PROSPECT,RD
Non Residential,B2Y 2C5,36,HASTINGS,DR
Non Residential,B2V 2T3,38,BISSETT LAKE,RD
Non Residential,B3B 2Z3,69,GLORIA MCCLUSKEY,AVE
Non Residential,B3A 1N1,217,WYSE,RD
Non Residential,B4A 1B9,1167,BEDFORD,HWY
Non Residential,B2Y 2N1,33,ACADIA,ST
Non Residential,B3J 2L2,1515,SOUTH PARK,ST
Non Residential,B3K 1T8,6136,ALMON,ST
Non Residential,B3K 3B4,2164,GOTTINGEN,ST
Non Residential,B3J 1G9,5635,SPRING GARDEN,RD
Non Residential,B3H 1R3,5666,FENWICK,ST
Non Residential,B3H 4R2,1459,OXFORD,ST
Non Residential,B3B 1N7,91,SIMMONDS,DR
Non Residential,B3P 2R3,50,SHOREHAM,LANE
Non Residential,B3J 1N7,5162,DUKE,ST
Non Residential,B3B 1M4,140,JOSEPH ZATZMAN,DR
Non Residential,B3K 4E1,2748,AGRICOLA,ST
Non Residential,B3J 1Z2,1479,BARRINGTON,ST
Non Residential,B3S 1B5,57,CRANE LAKE,DR
Non Residential,B2Y 2S8,34,WENTWORTH,ST
Non Residential,B0J 3A0,423,MAGNIFICENT,AVE
Non Residential,B2T 1G5,843,FALL RIVER,RD
Non Residential,B4E 3G4,100,SPRINGFIELD,AVE
Non Residential,B2R 1S1,1250,ROCKY LAKE,DR
Non Residential,B3K 2Z8,2111,MAITLAND,ST
Non Residential,B4C 2M2,85,SACKVILLE CROSS,RD
Non Residential,B3B 2C1,300,DEGAUSSING,LANE
Non Residential,B3B 0E5,193,HECTOR,GATE
Non Residential,B3B 1C6,15,MACDONALD,AVE
Non Residential,B3J 1J7,5244,BLOWERS,ST
Non Residential,B3Z 1B3,46,SHELDRAKE,CRES
Non Residential,B4A 2T1,252,ROCKY LAKE,DR
Non Residential,B3K 1A8,5429,CORNWALLIS,ST
Non Residential,B3S 1C5,210,CHAIN LAKE,DR
Non Residential,B4C 2S1,541,SACKVILLE,DR
Non Residential,B3H 2Z9,1094,WELLINGTON,ST
Non Residential,B3B 1M6,221,JOSEPH ZATZMAN,DR
Non Residential,B3T 1P3,8,MILLS,DR
Non Residential,B3S 0H5,50,GRANDHAVEN,BLVD
Non Residential,B3N 2T1,3663,DUTCH VILLAGE,RD
Non Residential,B3H 1X8,5820,SPRING GARDEN,RD
Non Residential,B3N 2S2,3570,DUTCH VILLAGE,RD
Non Residential,B2Y 0B6,50,NEPTUNE,CRES
Non Residential,B3N 2S4,3640,DUTCH VILLAGE,RD
Non Residential,B3Z 1K7,1,YANKEETOWN,RD
Non Residential,B2T 1E4,270,GOUDEY,DR
Non Residential,B0J 1Y0,16,FISHERMAN,RD
Non Residential,B3S 1E2,60,SCOTCH PINE,TERR
Non Residential,B3P 1K6,149,HERRING COVE,RD
Non Residential,B4A 3C5,1405,BEDFORD,HWY
Non Residential,B3L 0B8,1984,VERNON,ST
Non Residential,B3B 1W4,11,SCARFE,CRT
Non Residential,B4B 2A9,5,BRIDLE,PATH
Non Residential,B3B 1C4,11,MCCURDY,AVE
Non Residential,B3J 1Z9,1671,BARRINGTON,ST
Non Residential,B3K 1X9,5866,DEMONE,ST
Non Residential,B3K 2R5,6021,LADY HAMMOND,RD
Non Residential,B4C 2R8,376,SACKVILLE,DR
Non Residential,B3H 2W6,1121,SOUTH PARK,ST
Non Residential,B3J 3X8,1741,BRUNSWICK,ST
Non Residential,B3L 1C9,6249,YALE,ST
Non Residential,B4A 1A4,817,BEDFORD,HWY
Non Residential,B2Y 1C3,53,OCHTERLONEY,ST
Non Residential,B3K 4B4,2261,NORTH PARK,ST
Non Residential,B3J 1P8,1901,GOTTINGEN,ST
Non Residential,B0J 2L0,35,WEST PETPESWICK,RD
Non Residential,B3T 1B4,26,MYRA,RD
Non Residential,B2R 1S4,2463,ROCKY LAKE,DR
Non Residential,B3B 1T3,780,WINDMILL,RD
Non Residential,B3S 1L9,36,OTTER LAKE,CRT
Non Residential,B0J 1N0,120,TOWER,RD
Non Residential,B2Z 1A3,44,SIMMONDS,RD
Non Residential,B3J 2C6,1717,GRAFTON,ST
Non Residential,B3V 1A2,673,OLD SAMBRO,RD
Non Residential,B3J 1S8,2126,UPPER WATER,ST
Non Residential,B2W 3K5,49,MOUNT EDWARD,RD
Non Residential,B4G 1C5,28,KINSAC,RD
Non Residential,B3L 1B1,6455,QUINPOOL,RD
Non Residential,B3J 1G9,5665,SPRING GARDEN,RD
Non Residential,B3S 1C5,230,CHAIN LAKE,DR
Non Residential,B2Y 0A5,12,MAWIOMI,PL
Non Residential,B4B 0G2,71,APPALOOSA,RUN
Non Residential,B3Z 3P1,4,GOVERNMENT WHARF,RD
Non Residential,B3M 2Y9,5,SILVERWOOD,TERR
Non Residential,B3B 1J9,30,GURHOLT,DR
Non Residential,B2T 1J1,11,MCPHERSON,RD
Non Residential,B3K 5J6,6017,QUINPOOL,RD
Non Residential,B3J 1T1,1657,BEDFORD,ROW
Non Residential,B2T 1J5,67,RAYS,LANE
Non Residential,B4C 2R9,381,SACKVILLE,DR
Non Residential,B3B 1R3,40,SIMMONDS,DR
Non Residential,B3B 0B1,122,DOREY,AVE
Non Residential,B2Y 1G9,16,PORTLAND,ST
Non Residential,B3S 1A3,93,CHAIN LAKE,DR
Non Residential,B2W 6E9,300,AUBURN,DR
Non Residential,B2X 2E4,334,WAVERLEY,RD
Non Residential,B3K 1K4,5660,CHARLES,ST
Non Residential,B3B 1R9,51,THORNHILL,DR
Non Residential,B3B 1R3,10,SIMMONDS,DR
Non Residential,B2Y 1G6,79,QUEEN,ST
Non Residential,B2T 0C8,180,PRATT AND WHITNEY,DR
Non Residential,B3B 0J5,117,CUTLER,AVE
Non Residential,B3H 1Y4,5943,SPRING GARDEN,RD
Non Residential,B3K 5N2,6175,ALMON,ST
Non Residential,B3J 2B3,1566,ARGYLE,ST
Non Residential,B3B 0B2,59,DOREY,AVE
Non Residential,B3M 2K5,255,BEDFORD,HWY
Non Residential,B3K 1Z4,5350,YOUNG,ST
Non Residential,B4B 1B2,845,HAMMONDS PLAINS,RD
Non Residential,B2Y 1C7,118,OCHTERLONEY,ST
Non Residential,B2W 1A6,537,PLEASANT,ST
Non Residential,B3Z 2M9,12724,PEGGYS COVE,RD
Non Residential,B2W 6J1,80,CHAMEAU,CRES
Non Residential,B3B 1S2,161,THORNHILL,DR
Non Residential,B4B 1B4,1222,HAMMONDS PLAINS,RD
Non Residential,B3J 1V9,1741,HOLLIS,ST
Non Residential,B3N 2W2,5,ALEX,ST
Non Residential,B4B 1P3,2094,HAMMONDS PLAINS,RD
Non Residential,B3Z 3S2,110,PEGGYS POINT,RD
Non Residential,B3K 3C3,2439,GOTTINGEN,ST
Non Residential,B3P 1N3,11,MONT,ST
Non Residential,B3B 0H4,721,WILKINSON,AVE
Non Residential,B0J 1Y0,588,LITTLE HARBOUR,RD
Non Residential,B3J 2K4,1587,DRESDEN,ROW
Non Residential,B3T 1M9,25,LAKESIDE PARK,DR
Non Residential,B3L 4N2,6382,QUINPOOL,RD
Non Residential,B3J 1G3,5472,SPRING GARDEN,RD
Non Residential,B4A 1E7,1597,BEDFORD,HWY
Non Residential,B3A 1J3,352,WINDMILL,RD
Non Residential,B3T 1H1,2553,ST MARGARETS BAY,RD
Non Residential,B3H 2Y2,945,TOWER,RD
Non Residential,B0N 2H0,39,CORBETT,RD
Non Residential,B3Z 2B2,6374,ST MARGARETS BAY,RD
Non Residential,B4C 2R3,115,SACKVILLE,DR
Non Residential,B3K 4Y4,3490,PRESCOTT,ST
Non Residential,B3K 2S1,6211,LADY HAMMOND,RD
Non Residential,B4C 1E8,69,SYCAMORE,LANE
Non Residential,B3K 3B3,2114,GOTTINGEN,ST
Non Residential,B2Z 1C5,2045,LAWRENCETOWN,RD
Non Residential,B3N 2X5,50,HILLCREST,ST
Non Residential,B0J 3B0,155,ST ANDREWS,LOOP
Non Residential,B2T 0C5,5,MILLER,LANE
Non Residential,B3J 2J7,1540,BIRMINGHAM,ST
Non Residential,B3L 1A3,6232,QUINPOOL,RD
Non Residential,B3K 2S4,6417,LADY HAMMOND,RD
Non Residential,B3K 4M5,2138,ROBIE,ST
Non Residential,B3Z 1C9,4690,ST MARGARETS BAY,RD
Non Residential,B2T 1K3,48,BELL,BLVD
Non Residential,B2T 1G5,750,FALL RIVER,RD
Non Residential,B3B 0E7,89,COUNTRYVIEW,DR
Non Residential,B4B 1P7,1200,LUCASVILLE,RD
Non Residential,B4C 2N2,108,COBEQUID,RD
Non Residential,B3L 1A3,6156,QUINPOOL,RD
Non Residential,B3B 1H8,7,DAWN,DR
Non Residential,B3H 1J5,5384,INGLIS,ST
Non Residential,B3Z 1N9,340,WINSLOW,DR
Non Residential,B3M 1G5,27,VIMY,AVE
Non Residential,B3L 2W3,2959,OXFORD,ST
Non Residential,B3M 2L2,367,BEDFORD,HWY
Non Residential,B3S 0H4,372,WASHMILL LAKE,DR
Non Residential,B3K 1Z7,5515,YOUNG,ST
Non Residential,B4C 3J8,192,FIRST LAKE,DR
Non Residential,B3L 2H4,6903,MUMFORD,RD
Non Residential,B3K 5B8,2186,WINDSOR,ST
Non Residential,B3B 1Z1,30,TROOP,AVE
Non Residential,B2T 1K3,95,BALDWIN,DR
Non Residential,B3S 1C5,200,CHAIN LAKE,DR
Non Residential,B4E 1R7,800,SACKVILLE,DR
Non Residential,B4A 2T5,426,ROCKY LAKE,DR
Non Residential,B3J 1Y1,1871,GRANVILLE,ST
Non Residential,B2Y 3R9,245,PLEASANT,ST
Non Residential,B2W 3E5,58,TACOMA,DR
Non Residential,B3K 4P1,2731,ROBIE,ST
Non Residential,B0J 2L0,47,CLAMSHELL,RD
Non Residential,B3L 1L7,6516,CHEBUCTO,RD
Non Residential,B3J 3J8,1888,BRUNSWICK,ST
Non Residential,B0N 2M0,804,ST MARYS,RD
Non Residential,B3B 1Z2,156,THORNE,AVE
Non Residential,B3G 1M8,1488,MAIN,RD
Non Residential,B4A 0K1,29,ESQUIRE,LANE
Non Residential,B3S 1N8,19,LONG LAKE,DR
Non Residential,B3R 1Z1,817,HERRING COVE,RD
Non Residential,B3T 1Z3,3591,PROSPECT,RD
Non Residential,B2Y 4K3,31,ESTATES,RD
Non Residential,B3K 5T7,3461,KEMPT,RD
Non Residential,B3B 1V9,260,BROWNLOW,AVE
Non Residential,B3L 1A4,6281,QUINPOOL,RD
Non Residential,B3J 1Y1,1861,GRANVILLE,ST
Non Residential,B2Y 1C9,2,OCHTERLONEY,ST
Non Residential,B3A 3A5,30,FAULKNER,ST
Non Residential,B3A 4Y6,15,GREEN,RD
Non Residential,B0J 1Y0,44,DEBAIES COVE,RD
Non Residential,B4A 0H1,20,DELLRIDGE,LANE
Non Residential,B3J 3R7,1969,UPPER WATER,ST
Non Residential,B3R 2J3,100,THORNHILL,DR
Non Residential,B0J 1T0,46,HARNISH,LANE
Non Residential,B3H 4H8,6225,UNIVERSITY,AVE
Non Residential,B3L 1A3,6260,QUINPOOL,RD
Non Residential,B3B 2B9,90,GLORIA MCCLUSKEY,AVE
Non Residential,B4B 1E2,1941,LARRY UTECK,BLVD
Non Residential,B2T 1K3,438,CYGNET,DR
Non Residential,B2Y 1M1,59,PRINCE ALBERT,RD
Non Residential,B3J 1G9,5693,SPRING GARDEN,RD
Non Residential,B4C 2S4,641,SACKVILLE,DR
Non Residential,B3H 2E3,6073,JUBILEE,RD
Non Residential,B3H 1Y7,5990,SPRING GARDEN,RD
Non Residential,B3G 1K6,470,DYKE,RD
Non Residential,B4C 2R7,367,SACKVILLE,DR
Non Residential,B3K 4P2,2728,ROBIE,ST
Non Residential,B3Z 4R2,3646,HAMMONDS PLAINS,RD
Non Residential,B4A 1E2,1408,BEDFORD,HWY
Non Residential,B3L 3A7,3055,CONNAUGHT,AVE
Non Residential,B2T 1J1,10,LOCKVIEW,RD
Non Residential,B3M 0G1,82,PEAKVIEW,WAY
Non Residential,B3J 1B6,5257,MORRIS,ST
Non Residential,B3A 1M9,224,WYSE,RD
Non Residential,B4G 1C1,28,TRINITY,LANE
Non Residential,B3V 1A4,60,Non Residential,DR
Non Residential,B0J 1W0,30,BAKERS POINT,RD
Non Residential,B2Y 4R6,48,RAGUS,RD
Non Residential,B3K 4W5,2760,GLADSTONE,ST
Non Residential,B3J 1N9,5201,DUKE,ST
Non Residential,B3B 0A5,11,FRAZEE,AVE
Non Residential,B3T 1P9,1839,PROSPECT,RD
Non Residential,B0J 3A0,15,SQUADRON,CRES
Non Residential,B3J 2K4,1579,DRESDEN,ROW
Non Residential,B4G 1A5,50,LAKELAND,ST
Non Residential,B3K 2V9,3000,MONAGHAN,DR
Non Residential,B2W 3E5,82,TACOMA,DR
Non Residential,B3K 3B4,2172,GOTTINGEN,ST
Non Residential,B3Z 1S6,7532,ST MARGARETS BAY,RD
Non Residential,B3K 3E1,2866,GOTTINGEN,ST
Non Residential,B2V 1A3,280,CALDWELL,RD
Non Residential,B2T 1K3,573,BARNES,DR
Non Residential,B2Y 1P1,33,CRICHTON,AVE
Non Residential,B0J 1N0,96,CAUSEWAY,RD
Non Residential,B3H 3B4,636,FRANCKLYN,ST
Non Residential,B3L 1A1,6070,QUINPOOL,RD
Non Residential,B3A 1M7,171,WYSE,RD
Non Residential,B2Y 2V9,36,VICTORIA,RD
Non Residential,B3P 2S9,11,RAMSGATE,LANE
Non Residential,B2Y 1H1,67,PORTLAND,ST
Non Residential,B3B 1E4,36,FIELDING,AVE
Non Residential,B3T 1Y6,1830,LOWER PROSPECT,RD
Non Residential,B3J 2H8,1546,QUEEN,ST
Non Residential,B3M 1L3,12,CLAYTON PARK,DR
Non Residential,B3K 2B4,3154,ISLEVILLE,ST
Non Residential,B3J 2G1,1559,BRUNSWICK,ST
Non Residential,B2T 1K3,549,BARNES,DR
Non Residential,B3G 1S9,17,PETER,CRT
Non Residential,B3P 1K9,173,HERRING COVE,RD
Non Residential,B4E 3C7,40,PATTON,RD
Non Residential,B4B 1P3,2041,HAMMONDS PLAINS,RD
Non Residential,B2Y 4T5,27,PARKER,ST
Non Residential,B3B 0E7,75,COUNTRYVIEW,DR
Non Residential,B2Z 1B1,180,LAKE MAJOR,RD
Non Residential,B3Z 1E4,1,FRENCH VILLAGE STATION,RD
Non Residential,B3B 2C8,25,WESTON,CRT
Non Residential,B3H 3H5,1321,EDWARD,ST
Non Residential,B3B 1B6,619,WINDMILL,RD
Non Residential,B3T 1M5,1,DUCK POND,RD
Non Residential,B3S 0A2,9,WASHMILL LAKE,DR
Non Residential,B3B 0H8,580,WRIGHT,AVE
Non Residential,B3K 4X5,3363,KEMPT,RD
Non Residential,B2Y 4P4,35,ATLANTIC,ST
Non Residential,B4C 2N1,51,COBEQUID,RD
Non Residential,B3V 1L6,15,SAMBRO WHARF,RD
Non Residential,B3Z 3R4,5,MIDDLE POINT,RD
Non Residential,B3K 3J1,123,JARVIS,LANE
Non Residential,B2X 2C4,244,WAVERLEY,RD
Non Residential,B3J 2J5,1529,BIRMINGHAM,ST
Non Residential,B3K 1B4,5576,CORNWALLIS,ST
Non Residential,B0N 1Y0,364,VINEGAR HILL,RD
Non Residential,B3L 1L6,6509,CHEBUCTO,RD
Non Residential,B2Y 4G8,325,PLEASANT,ST
Non Residential,B4A 3X1,1717,BEDFORD,HWY
Non Residential,B2X 1R4,99,MAIN,ST
Non Residential,B2Y 1H7,125,PORTLAND,ST
Non Residential,B0J 1P0,1827,WEST JEDDORE,RD
Non Residential,B3S 1G8,46,MCQUADE LAKE,CRES
Non Residential,B3B 1N7,97,SIMMONDS,DR
Non Residential,B0J 2L0,8,EAST PETPESWICK,RD
Non Residential,B3B 0E5,205,HECTOR,GATE
Non Residential,B3L 4H8,3627,JOSEPH HOWE,DR
Non Residential,B3B 0G3,80,GUILDFORD,AVE
Non Residential,B3J 2J6,1545,BIRMINGHAM,ST
Non Residential,B2V 1E5,959,COLE HARBOUR,RD
Non Residential,B2V 1N2,1234,COLE HARBOUR,RD
Non Residential,B2T 1A1,152,HOLLAND,RD
Non Residential,B3J 1R2,5527,COGSWELL,ST
Non Residential,B3K 1C7,5673,CUNARD,ST
Non Residential,B3J 1Y9,1329,BARRINGTON,ST
Non Residential,B2T 1K3,619,BARNES,DR
Non Residential,B0J 3B0,28,SHORT CUT,RD
Non Residential,B3B 1L4,25,RADDALL,AVE
Non Residential,B3H 1P6,5282,KENT,ST
Non Residential,B3K 1Z7,5519,YOUNG,ST
Non Residential,B3Z 4E8,35,LOBSTER,LANE
Non Residential,B3J 2B6,1732,ARGYLE,ST
Non Residential,B3K 4J9,3669,HIGHLAND,AVE
Non Residential,B3K 1Y5,5550,KAYE,ST
Non Residential,B3K 5R3,6155,NORTH,ST
Non Residential,B2X 1S7,211,MAIN,ST
Non Residential,B3V 1R9,68,SOUWESTER,LANE
Non Residential,B4A 0K1,12,ESQUIRE,LANE
Non Residential,B3S 1A2,98,CHAIN LAKE,DR
Non Residential,B3J 3M7,5640,SPRING GARDEN,RD
Non Residential,B4A 1A8,920,BEDFORD,HWY
Non Residential,B3Z 3J4,9993,PEGGYS COVE,RD
Non Residential,B3K 1Y5,5530,KAYE,ST
Non Residential,B3J 1T6,1272,HOLLIS,ST
Non Residential,B3J 2J2,1358,BIRMINGHAM,ST
Non Residential,B3R 1J9,38,SYLVIA,AVE
Non Residential,B3B 1N1,30,AKERLEY,BLVD
Non Residential,B3N 2T1,3653,DUTCH VILLAGE,RD
Non Residential,B4C 2S4,575,SACKVILLE,DR
Non Residential,B2T 1K3,800,BARNES,DR
Non Residential,B3J 2K4,1593,DRESDEN,ROW
Non Residential,B3L 4H8,3601,JOSEPH HOWE,DR
Non Residential,B3B 0E1,32,FOULIS,ROW
Non Residential,B3J 3L2,5284,DUKE,ST
Non Residential,B0N 1Y0,896,MILFORD,RD
Non Residential,B3K 1H6,5663,WEST,ST
Non Residential,B0J 1W0,78,OLD TRUNK,RD
Non Residential,B3T 1C6,16,ROSEWOOD,AVE
Non Residential,B2Y 1J4,184,PORTLAND,ST
Non Residential,B3J 1Z9,1649,BARRINGTON,ST
Non Residential,B3A 1G8,288,WINDMILL,RD
Non Residential,B3S 1C2,10,RAGGED LAKE,BLVD
Non Residential,B0J 1Y0,680,WEST SHIP HARBOUR,RD
Non Residential,B3K 4C6,2584,AGRICOLA,ST
Non Residential,B0J 3A0,123,BONAVENTURE,ST
Non Residential,B3B 2B7,180,AKERLEY,BLVD
Non Residential,B3A 1N7,177,WYSE,RD
Non Residential,B4B 1H3,10,SYMONDS,RD
Non Residential,B2X 1V1,40,LAKECREST,DR
Non Residential,B3Z 4R4,5181,ST MARGARETS BAY,RD
Non Residential,B3L 2R9,6720,CHISHOLM,AVE
Non Residential,B4C 2R8,476,SACKVILLE,DR
Non Residential,B2W 2M8,660,PORTLAND,ST
Non Residential,B3L 3X5,3389,FEDERAL,AVE
Non Residential,B2Y 3K1,2,PENHORN,DR
Non Residential,B3N 2T1,3665,DUTCH VILLAGE,RD
Non Residential,B2Y 4K3,61,ESTATES,RD
Non Residential,B2Y 1H1,29,PORTLAND,ST
Non Residential,B3J 1G8,5523,SPRING GARDEN,RD
Non Residential,B2Y 4B1,565,PORTLAND,ST
Non Residential,B3R 1Y9,749,HERRING COVE,RD
Non Residential,B2Y 1H1,53,PORTLAND,ST
Non Residential,B3B 1R3,24,SIMMONDS,DR
Non Residential,B3B 1T8,75,MACDONALD,AVE
Non Residential,B3K 3B9,2358,GOTTINGEN,ST
Non Residential,B3H 2G4,6247,JUBILEE,RD
Non Residential,B0J 1T0,10361,ST MARGARETS BAY,RD
Non Residential,B2Y 2W3,20,CANAL,ST
Non Residential,B2Y 2W4,93,QUEEN,ST
Non Residential,B2Y 2S5,16,WENTWORTH,ST
Non Residential,B3B 0J6,34,CUTLER,AVE
Non Residential,B3Z 3S7,10,WEST DOVER,RD
Non Residential,B3B 0E7,65,COUNTRYVIEW,DR
Non Residential,B3B 0C3,111,SHUBIE,DR
Non Residential,B3K 3B4,2182,GOTTINGEN,ST
Non Residential,B2Y 2W9,46,IRISHTOWN,RD
Non Residential,B3Z 2N2,12777,PEGGYS COVE,RD
Non Residential,B3T 1S1,2101,PROSPECT,RD
Non Residential,B3S 1B3,165,CHAIN LAKE,DR
Non Residential,B3B 1K6,91,WRIGHT,AVE
Non Residential,B4C 2R7,295,SACKVILLE,DR
Non Residential,B2Y 1C5,92,OCHTERLONEY,ST
Non Residential,B3Z 3G8,10502,PEGGYS COVE,RD
Non Residential,B3K 1V8,5844,BILBY,ST
Non Residential,B4C 4E9,473,COBEQUID,RD
Non Residential,B2W 1P5,2,STEVENS,RD
Non Residential,B3L 3R3,3530,CONNOLLY,ST
Non Residential,B4A 1C6,1240,BEDFORD,HWY
Non Residential,B3K 5C4,2571,WINDSOR,ST
Non Residential,B3B 1Y5,64,THORNE,AVE
Non Residential,B4C 4E8,474,COBEQUID,RD
Non Residential,B3K 4X8,3530,KEMPT,RD
Non Residential,B3H 2R3,1144,BARRINGTON,ST
Non Residential,B3A 1N6,278,WYSE,RD
Non Residential,B3P 1K4,138,HERRING COVE,RD
Non Residential,B3N 2S4,3648,DUTCH VILLAGE,RD
Non Residential,B3L 1Z5,6421,CORK,ST
Non Residential,B3B 1B2,475,WINDMILL,RD
Non Residential,B3B 1V6,125,TRIDER,CRES
Non Residential,B3T 1P7,1568,PROSPECT,RD
Non Residential,B4B 0V1,15,WESTERN,PKY
Non Residential,B3Z 3R2,8355,PEGGYS COVE,RD
Non Residential,B3P 1T6,121,WILLIAMS LAKE,RD
Non Residential,B0J 2R0,1080,DUFFERIN MINES,RD
Non Residential,B0J 3B0,115,MCINNIS,DR
Non Residential,B3V 1K3,20,SOUTH POINT,RD
Non Residential,B3B 1L5,15,ILSLEY,AVE
Non Residential,B2W 2J3,90,LUCIEN,DR
Non Residential,B3H 2P8,1145,BARRINGTON,ST
Non Residential,B3L 4W3,7000,MUMFORD,RD
Non Residential,B3J 1V7,1674,HOLLIS,ST
Non Residential,B3Z 2J1,5374,ST MARGARETS BAY,RD
Non Residential,B3B 0G6,165,BURBRIDGE,AVE
Non Residential,B0N 1X0,206,SOUTH,RD
Non Residential,B3H 1P8,5566,FENWICK,ST
Non Residential,B3L 4H6,3521,JOSEPH HOWE,DR
Non Residential,B4C 3Z2,9,ESTATES,RD
Non Residential,B3S 1A2,128,CHAIN LAKE,DR
Non Residential,B3Z 2P3,148,NAUTICAL,WAY
Non Residential,B0N 1Y0,263,NELSON HILL,RD
Non Residential,B3A 1H1,294,WINDMILL,RD
Non Residential,B3S 1M7,366,LACEWOOD,DR
Non Residential,B3B 0B5,30,LAMONT,TERR
Non Residential,B3J 1Y2,1283,BARRINGTON,ST
